endTime,artistName,trackName,msPlayed
2020-01-16 21:35,Simon & Garfunkel,The Boxer,308520
2020-01-16 21:38,Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,178506
2020-01-16 21:38,Bob Dylan,The Times They Are A-Changin',32945
2020-01-16 21:42,Nancy Sinatra,Summer Wine,256280
2020-01-16 21:45,Chuck Berry,You Never Can Tell,161906
2020-01-16 21:49,The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,222746
2020-01-16 21:53,Jimi Hendrix,Hey Joe,1688
2020-01-16 21:53,Peter Sarstedt,Where Do You Go To (My Lovely),2974
2020-01-16 21:53,The Kinks,Sunny Afternoon - Mono Mix,2636
2020-01-16 21:53,Jimmy Cliff,Vietnam,275987
2020-01-16 21:54,Creedence Clearwater Revival,Green River,17132
2020-01-16 21:54,Leonard Cohen,Suzanne,10967
2020-01-16 21:57,Simon & Garfunkel,The Sound of Silence - Acoustic Version,185413
2020-01-16 22:01,Simon & Garfunkel,"Mrs. Robinson - From ""The Graduate"" Soundtrack",244026
2020-01-16 22:04,The Mamas & The Papas,California Dreamin' - Single Version,162373
2020-01-16 22:07,Scott McKenzie,San Francisco (Be Sure to Wear Flowers in Your Hair) - Single Version,178506
2020-01-16 22:09,Johnny Cash,Ring of Fire,155706
2020-01-16 22:12,The Animals,Don't Let Me Be Misunderstood,145693
2020-01-16 22:15,The Stooges,I Wanna Be Your Dog,188560
2020-01-16 22:16,Zager & Evans,In the Year 2525 (Exordium & Terminus),81071
2020-01-16 22:27,The Kinks,Waterloo Sunset - Mono Mix,36961
2020-01-16 22:50,Gemischtes Hack,#43 HEUTE IST MORGENS,53775
2020-01-17 00:04,Gemischtes Hack,#44 HETERONORMATIVES HACK,2908709
2020-01-17 08:57,Gemischtes Hack,#44 HETERONORMATIVES HACK,979173
2020-01-17 09:04,Gemischtes Hack,#45 LIVEHACK,398440
2020-01-17 10:40,Gemischtes Hack,#45 LIVEHACK,1235100
2020-01-17 12:09,Gemischtes Hack,#45 LIVEHACK,2433860
2020-01-17 12:49,Gemischtes Hack,#45 LIVEHACK,631210
2020-01-17 13:55,Gemischtes Hack,#46 NACHHALTIG BUMSEN,3808862
2020-01-17 14:24,Gemischtes Hack,#47 HACK HILFT,1501836
2020-01-17 15:32,Gemischtes Hack,#47 HACK HILFT,453164
2020-01-17 16:11,NTO,The Morning After,74140
2020-01-18 02:26,AKA AKA,Narcotica,31960
2020-01-18 02:30,Paul Kalkbrenner,Atzepeng,183203
2020-01-18 02:37,Skober,Butterfly Effect - Original Mix,394576
2020-01-18 02:38,Jonas Rathsman,Wolfsbane - Extended Mix,64445
2020-01-18 02:48,NTO,Trauma - Worakls Remix,600121
2020-01-18 02:55,Worakls,Bleu,466224
2020-01-18 03:03,NTO,The Morning After,408595
2020-01-18 03:09,NTO,La clé des champs,416000
2020-01-18 03:15,NTO,Alter Ego,350010
